ac
actant
adenant
adol
adox
afenone
aj
alap
alcap
aldrate
algron
alol
amidine
amidis
andr
anib
aniten
anserin
antrone
apsel
apt
arabine
aril
arit
arol
arotene
arsin
arte
astine
atadine
azenil
azepam
azepide
azocine
azoline
azosin
alkib
anib
aplin
bactam
balpin
bamate
barb
bart
basib
begron
bendazole
bep
berel
bersat
betin
binop
bol
borole
bresib
brodib
bufen
bulin
butan
butazone
caftor
caine
calcet
calci
caleret
camra
camsule
camten
camten
camtiv
capoc
capone
caprant
carbef
casan
caserin
catib
cebec
cef
cerfont
cetrapib
cic
ciclib
cidin
ciguat
cillin
cirnon
citabine
clidine
clidinium
clomol
clone
closporin
conazole
copan
coplan
corat
corilant
cort
coxib
cractin
crinat
crine
cromil
curium
curonium
cycline
dacin
dalen
dan
dapsone
deg
degib
delpar
demetan
denoson
denvir
depsin
deu
dipine
dirib
ditan
ditraz
dnar
dopa
dopidine
dore
dotin
dralazine
drine
dronate
ectedin
ectin
edir
ef
emcinal
entan
erg
eridine
espib
estr
estrant
etanide
fadine
farin
farnib
faxine
fenacin
fenamate
fenamic
fenicol
fenin
fenine
fensine
fentanil
fentrine
feport
fetamin
fexor
fiban
fibrate
fibric
filam
filcon
fimloc
fingol
flapon
flurane
fo
fos
focon
forant
formin
fosfamide
fosine
fulven
fungerp
fungin
fusp
fylline
gab
gado
galtin
ganan
gapil
gatran
gepant
gepras
gest
giline
gillin
gli
gly
gliatin
gliflozin
glinide
glipron
gliptin
glitazar
glitazone
glivant
glucagon
glumide
glurant
golix
grel
guan
guran
icam
ifan
ifene 
ifen
iphene
ilide
imepodib
imex
imibe
inurad
io
iprone
irine
irudin
isant
isomide
onium
ivon
ixafor
ixibat
ibat
kacin
kalim
kalner
kef
kiren
laner
laplin
lazard
lazine
leptin
leuton
lipim
lisib
lixron
loride
lotor
lubant
luren
lutamide
madlin
manid
mantadine
mantine
melagon
meline
melnant
melteon
menib
ment
meran
mesine
mestane
metacin
meton
metrep
micin
mig
minib
monam
moren
motine
moxin
mulin
multin
mustine
mycin
naclid
nal
napanor
napant
nemdaz
nepag
nesib
netap
neurin
nexor
nicline
nidap
nidazole
nifur
nixin
nod
nontrine
nosine
oligide
olol
olone
onide
opilone
opran
orphan
osuran
otilate
oxacin
oxan
oxane
oxanide
oxef
oxin
padin
padon
pafant
pamide
pamil
pamine
pansel
parantag
parcin
parib
parin
parinux
paroid
paxar
peg
penem
perflu
perit
pertin
pezil
pidem
pin
pine
piprant
pirdine
pirox
pivat
plact
pladib
plam
planin
plasinin
plasmin
platin
plenib
plon
podect
podun
poetin
porfin
pramine
prazan
pred
pressin
pride
prim
prinim
pris
prisnil
pristin
pristone
profen
proget
prost
protafib
pterin
punil
queside
quiline
quinil
racetam
racil
rafenib
ragon
rasib
rebant
relix
renone
resdax
retin
rian
ribine
rifa
rinone
rixin
rocin
rofim
rogant
rozole
rubicin
sal
sap
sarm
sartan
selan
semide
semten
serod
serpine
sertib
setrag
setron
siban
sidenib
sidomine
sidone
siptor
siran
siranib
sirvat
solmin
sonan
sopasem
sotine
sotine
spemin
spirone
ster
steride
stigmine
stinel
sulam
sulfa
sulfan
sulind
tansine
tapide
taront
taxel
tecan
tecarin
tepa
terkib
terol
tesind
thiazide
tiapine
tiazem
tibant
tidine
tifator
tirom
tocin
toclax
toin
toran
traline
treg
tremon
trep
trexate
trexed
tricin
trigine
triptan
triptyline
troban
troline
trombopag
trop
uracil
uridine
vancin
vaptan
vatrep
verine
vin
vivint
vudine
xaban
xanox
xetan
xian
zolamide
zolid
zomib
zotan
